soi_source_var,form,core_harmonized_name,nodc_efile_var,legacy_core_names,nodc_vscope,nodc_label,core_description,core_years,nodc_years,legacy_years
a_tax_prd,EZ,tax_period,F9_00_TAX_PERIOD_END_DATE,TAXPER,BOTH,Tax period end date,Tax period,2015,2015-2015,1989-2011
actvtynotprevrptcd,EZ,significant_new_activity_cd,F9_06_ACT_NOT_PREVIOUSLY_REP_X,,F990EZ,Engaged in significant activity not previous reported [x],Activity not previously reported?,2013-2024,2013-2024,
basisalesexpnsothr,EZ,cost_basis_other_assets,F9_08_REV_OTH_SALE_LESS_COST,P1OTHC;SALEOTHE,F990EZ,Cost of assets and sales expenses,Cost or other basis and sales expenses,2012-2024,2012-2024,1997-1999;1997-2011
chngsinorgcd,EZ,changes_to_governing_docs_cd,F9_06_GVRN_CHANGE_DOC_X,,F990EZ,Made significant changes to governing documents [x],Significant changes to governing docs?,2013-2024,2013-2024,
contractioncd,EZ,liquidated_terminated_cd,F9_04_LTD_DOA_X,,F990EZ,Discontinued operations or disposed of more than 25% of net assets [x],"Liquidation, dissolution, termination, or contraction",2013-2024,2013-2024,
costgoodsold,EZ,cost_of_goods_sold,F9_08_REV_OTH_INV_COST_GOODS,GOODS;P1INVNTC,BOTH,Cost of goods sold,Less: cost of goods sold,2012-2024,2012-2024,1989-1999;1989-2011
direxpns,EZ,gaming_fundraising_direct_expenses,F9_08_REV_OTH_EVNT_DIRECT_EXP,P1SPEVE,F990EZ,Direct expenses from fundraising events and gaming activities,Special events direct expenses,2012-2024,2012-2024,1991-1999
duesassesmnts,EZ,membership_dues_assessments,F9_08_REV_CONTR_MEMBSHIP_DUE,,F990EZ,Membership dues,Membership dues and assessments,2012-2024,2012-2024,
e-file,EZ,efile_indicator,EFILE_X,,BOTH,E-file indicator,E-file indicator,2020,2020-2020,
efile,EZ,efile_indicator,EFILE_X,,BOTH,E-file indicator,E-file indicator,2021-2024,2021-2024,
ein,EZ,ein,F9_00_ORG_EIN,EIN,BOTH,EIN,Employer Identification Number,2012;2013-2024,2012-2024,1989-2011
elf,EZ,efile_indicator,EFILE_X,,BOTH,E-file indicator,E-file indicator,2015-2019,2015-2019,
