soi_source_var,form,core_harmonized_name,nodc_efile_var,legacy_core_names,nodc_vscope,nodc_label,core_description,core_years,nodc_years,legacy_years
excds1pct509,EZ,excess_over_1pct_sec509,SA_03_PUB_AMT_CONTR_SBST_TOT,,BOTH,"Public support from exceeding $5,000 or 1% of total during the current tax year and the four years prior",Amount support exceeds total (509),2017-2024,2014-2024,
excds2pct170,EZ,excess_over_2pct_sec170,SA_02_PUB_CONTR_SBST_TOT,,BOTH,Portion of total contributions exceeding 2% of total,Amount support exceeds total (170),2017-2024,2014-2024,
exceeds1pct509,EZ,excess_over_1pct_sec509,SA_03_PUB_AMT_CONTR_SBST_TOT,,BOTH,"Public support from exceeding $5,000 or 1% of total during the current tax year and the four years prior",Amount support exceeds total (509),2013-2016,2013-2020,
exceeds2pct170,EZ,excess_over_2pct_sec170,SA_02_PUB_CONTR_SBST_TOT,,BOTH,Portion of total contributions exceeding 2% of total,Amount support exceeds total (170),2013-2016,2013-2020,
filedf1120polcd,EZ,filed_form_1120pol_cd,F9_06_POLI_FORM1120_POL_FILED_X,,F990EZ,Filed Form 1120-POL [x],File Form 1120-POL?,2013-2024,2013-2024,
filedf990tcd,EZ,filed_form_990t_cd,F9_05_UBIZ_FORM_990T_FILED_X,,BOTH,Filed a Form 990-T [x],Organization Filed 990T,2013-2024,2013-2024,
filedfyyn0polcd,EZ,filed_form_1120pol_cd,F9_06_POLI_FORM1120_POL_FILED_X,,F990EZ,Filed Form 1120-POL [x],File Form 1120-POL? (2015 typo: Y for 1 and N for 2),2015,2015-2015,
gftgrntrcvd170,EZ,gifts_grants_received_sec170,SA_02_PUB_GIFT_GRANT_CONTR_TOT,CONT4;gftgrntsrcvd170,BOTH,"Gifts, grants, contributions, and membership fees received during the current tax year and the four years prior",Gifts grants membership fees received (170),"2012, 2017-2024",2012-2024,1997-2010;2011
gftgrntsrcvd170,EZ,gifts_grants_received_sec170,SA_02_PUB_GIFT_GRANT_CONTR_TOT,CONT4;gftgrntsrcvd170,BOTH,"Gifts, grants, contributions, and membership fees received during the current tax year and the four years prior",Gifts grants membership fees received (170),2013-2016,2013-2020,1997-2010;2011
gnsaleofastothr,EZ,gain_loss_sales_other_assets,F9_08_REV_OTH_SALE_GAIN_NET_TOT,P1OTHN,BOTH,Net gain on sales of assets - total,Gain or (loss) from sale of assets,2012-2024,2012-2024,1997-1999
grsalesminusret,EZ,gross_sales_inventory,F9_08_REV_OTH_INV_GRO_SALE,INVENTG;P1INVNTG,BOTH,Gross sales of inventory,Gross sales of inventory,2012-2024,2012-2024,1997-1999;1997-2011
grsamtsalesastothr,EZ,gross_sales_other_assets,F9_08_REV_OTH_SALE_ASSET,P1OTHG;P1SECURG,F990EZ,Gross sales of assets,Gross amount from sale of assets,2012-2024,2012-2024,1989-1999;1997-1999
grsinc170,EZ,gross_income_interest_sec170,SA_02_TOT_INCOME_GRO_TOT,A4A_IVST;grsinc170;INVINC4;SAVINT,BOTH,Gross investment income during the current tax year and the four years prior,Gross income from interest etc (170),2012-2024,2012-2024,1997-1999;1997-2010;2011
grsinc509,EZ,gross_income_interest_sec509,SA_03_TOT_INCOME_GRO_TOT,,BOTH,Gross investment income during the current tax year and the four years prior,Gross income from interest etc (509),2013-2024,2013-2024,
grsincgaming,EZ,gross_income_gaming_activities,F9_08_REV_OTH_GAMING,grsincgaming;SPEVTG,BOTH,Gross income from gaming activities,Gross income from gaming,2012-2024,2012-2024,"1989, 1997-2011;2011"
grsprft,EZ,net_income_inventory_sales,F9_08_REV_OTH_INV_NET_TOT,GRPROF;P1INVNTN,BOTH,Net income from sales of inventory - total,Gross profit (or loss) from sales of inventory,2012-2024,2012-2024,1989-1999;1989-2011
grspublicrcpts,EZ,gross_receipts_public_use,F9_05_501C7_GRO_RCPT_PUB_USE,GRRECPUB;P1SALES,BOTH,Gross receipts for public use of club facilities,Gross receipts for public use of club facilities,2012-2024,2012-2024,1989-1999;1989-2011
grsrcptsactivities509,EZ,gross_receipts_related_activities_sec509,SA_03_PUB_GRO_RCPT_NONUBIZ_TOT,,BOTH,Gross receipts from activities that are not an unrelated trade or business during the current tax year and the four years prior,Gross receipts from related activities (509),2013-2016,2013-2020,
grsrcptsactvts509,EZ,gross_receipts_related_activities_sec509,SA_03_PUB_GRO_RCPT_NONUBIZ_TOT,,BOTH,Gross receipts from activities that are not an unrelated trade or business during the current tax year and the four years prior,Gross receipts from related activities (509),2017-2024,2014-2024,
grsrcptsadmiss509,EZ,gross_receipts_admissions_sec509,SA_03_PUB_GRO_RCPT_ADM_TOT,GRREC4;grsrcptsadmissn509,BOTH,"Gross receipts from admissions, merchandise sold or service performed, or facilities furnished during the current tax year and the four years prior",Receipts from admissions merchandise etc (509),"2012, 2017-2024",2012-2024,1997-2010;2011
grsrcptsadmissn509,EZ,gross_receipts_admissions_sec509,SA_03_PUB_GRO_RCPT_ADM_TOT,GRREC4;grsrcptsadmissn509,BOTH,"Gross receipts from admissions, merchandise sold or service performed, or facilities furnished during the current tax year and the four years prior",Receipts from admissions merchandise etc (509),2013-2016,2013-2020,1997-2010;2011
grsrcptsrelatd170,EZ,gross_receipts_related_activities_sec170,SA_02_TOT_GRO_RCPT_RLTD_ACTS,A4A_BUST;grsrcptsrelated170,BOTH,Gross receipts from related activities,Gross receipts from related activities (170),"2012, 2017-2024",2012-2024,1997-1999;2011
grsrcptsrelated170,EZ,gross_receipts_related_activities_sec170,SA_02_TOT_GRO_RCPT_RLTD_ACTS,A4A_BUST;grsrcptsrelated170,BOTH,Gross receipts from related activities,Gross receipts from related activities (170),2013-2016,2013-2020,1997-1999;2011
grsrevnuefndrsng,EZ,gross_income_fundraising_events,F9_08_REV_OTH_FUNDR_EVNT_1,grsincfndrsng;P1SPEVC,BOTH,Gross income from fundraising events,Special events gross revenue,2012-2024,2012-2024,1997-1999;2011
initiationfee,EZ,initiation_fees,F9_05_501C7_INITIATION_FEES,INITFEES;P6INIFEE,BOTH,Initiation fees and capital contributions,Initiation fees and capital contributions,2012-2024,2012-2024,1989-1999;1989-2011
loanstoofficers,EZ,loans_to_officers_amount,F9_04_LOAN_DTK_AMT,,F990EZ,"Loans to or from officers, directors, trustees, or key employees",Amount of loans to/from officers,2013-2024,2013-2024,
loanstoofficerscd,EZ,loan_to_interested_person_cd,F9_04_LOAN_DTK_X,,BOTH,"Reported loans to or from current or former officers, directors, trustees, or key employees; or had outstanding loans [x]","Loans to/from officers, directors or trustees?",2013-2024,2013-2024,
netincfndrsng,EZ,net_income_fundraising_events,F9_08_REV_OTH_FUNDR_NET_TOT,FUNDINC;netincfndrsng;P1SPEVN,BOTH,Net income from fundraising events - total,Special events net income (or loss),2012-2024,2012-2024,1989-2011;1991-1999;2011
netincunrelatd170,EZ,net_ubi_sec170,SA_02_TOT_INCOME_NET_UBIZ_TOT,,BOTH,Net income from unrelated business activities during the current tax year and the four years prior,Net UBI (170),2017-2024,2014-2024,
netincunrelatd509,EZ,net_ubi_excl_10b_sec509,SA_03_TOT_INCOME_NET_UBIZ_TOT,,BOTH,Net income from unrelated business activities during the current tax year and the four years prior,Net income from UBI not in 10b (509),2013-2016,2013-2020,
netincunreltd170,EZ,net_ubi_sec170,SA_02_TOT_INCOME_NET_UBIZ_TOT,,BOTH,Net income from unrelated business activities during the current tax year and the four years prior,Net UBI (170),2013-2016,2013-2020,
netincunreltd509,EZ,net_ubi_excl_10b_sec509,SA_03_TOT_INCOME_NET_UBIZ_TOT,,BOTH,Net income from unrelated business activities during the current tax year and the four years prior,Net income from UBI not in 10b (509),2017-2024,2014-2024,
networthend,EZ,total_net_assets_eoy,F9_01_NAFB_TOT_EOY,FUNDBAL;P1NASEOY;p4b_net,F990EZ,Net assets or fund balances - end of year,Net assets EOY,2013-2024,2013-2024,1989-1999;1989-2011;1997-1999
nonpfrea,EZ,non_pf_status_reason,NON_PF_REASON,REASON,BOTH,"",Reason for non-PF status,2012-2024,2012-2024,1989-2011
othrchgsnetassetfnd,EZ,other_changes_net_assets_fund_balances,F9_11_RECO_OTH_CHANGE_NAFB,P1CHGAS,F990EZ,Other changes in net assets or fund balances,Other changes in net assets,2012-2024,2012-2024,1997-1999
othrevnue,EZ,other_revenue_total_11e,F9_08_REV_MISC_TOT_TOT,OTHINC;P1OTHREV,BOTH,Total miscellaneous revenue,Other revenue - total,2012-2024,2012-2024,"1989, 1991-2011;1991-1999"
othrinc170,EZ,other_income_sec170,SA_02_TOT_INCOME_OTH_TOT,A4A_OTHT,BOTH,Other income during the current tax year and the four years prior,Other income (170),2013-2024,2013-2024,1997-1999
othrinc509,EZ,other_income_sec509,SA_03_TOT_INCOME_OTH_TOT,,BOTH,Other income during the current tax year and the four years prior,Other income (509),2013-2024,2013-2024,
othrinvstinc,EZ,investment_income,F9_01_REV_INVEST_TOT_CY,INVINC;OTHINVST;P1INVST;P7DIVRIN;P7INVRIN;SECINC,F990EZ,Investment income - current year,Investment income,2012-2024,2012-2024,1989-1999;1989-2011;1997-1999;1997-2010
politicalexpend,EZ,political_expenditures,F9_06_POLI_EXP,P6POLEXP;POLPURP,F990EZ,Direct or indirect political expenditures,Direct or indirect political expenditures.,2013-2024,2013-2024,1989-1999;1989-2010
prgmservrev,EZ,program_service_revenue,F9_08_REV_PROG_TOT_TOT,P1PSREV;PROGREV,BOTH,Total program service revenue,Program service revenue,2012-2024,2012-2024,1989-2011;1991-1999
prohibtdtxshltrcd,EZ,prohibited_tax_shelter_cd,F9_05_PTST_X,,BOTH,Party to a prohibited tax shelter transaction [x],Party to a prohibited tax shelter transaction?,2013-2024,2013-2024,
pubsupplesspct170,EZ,public_support_sec170,SA_02_PUB_SUPPORT_TOT,DirSupEstimate,BOTH,Public support total,Public support (170),2013-2024,2013-2024,1998-2011
pubsupplesssub509,EZ,public_support_sec509,SA_03_PUB_SUPPORT_TOT,,BOTH,Public support total,Public support (509),2017-2024,2014-2024,
pubsupplesub509,EZ,public_support_sec509,SA_03_PUB_SUPPORT_TOT,,BOTH,Public support total,Public support (509),2013-2016,2013-2020,
pubsuppsubtot170,EZ,public_support_subtotal_sec170,SA_02_PUB_TOT_L123_TOT,IndSupEstimate,BOTH,Total public support during the current tax year and the four years prior,Public support subtotal (170),2013-2024,2013-2024,1998-2011
pubsuppsubtot509,EZ,public_support_subtotal_line6_sec509,SA_03_PUB_TOT_L1_5_TOT,,BOTH,Total public support during the current tax year and the four years prior,Public support subtotal (509),2013-2024,2013-2024,
rcvdfrmdisqualsub509,EZ,disqualified_persons_amts_sec509,SA_03_PUB_AMT_PERS_DSQ_TOT,,BOTH,Public support from disqualified persons during the current tax year and the four years prior,Amounts from disqualified persons (509),2013-2024,2013-2024,
s4958excessbenefcd,EZ,excess_benefit_transaction_cd,F9_04_TRANSAC_ENGAGED_X,,BOTH,Engaged in excess benefit transaction - current year [x],Section 4958 excess benefit transactions?,2013-2024,2013-2024,
samepubsuppsubtot170,EZ,public_support_subtotal_line4_ref_sec170,SA_02_TOT_AMT_L4_CY_TOT,,BOTH,Total public support during the current tax year and the four years prior,Public support from line 4 (170),2013-2024,2013-2024,
samepubsuppsubtot509,EZ,public_support_subtotal_line6_ref_sec509,SA_03_TOT_AMT_L6_TOT,,BOTH,Total public support during the current tax year and the four years prior,Public support from line 6 (509),2013-2024,2013-2024,
srvcsval170,EZ,gov_services_value_sec170,SA_02_PUB_VALUE_SVC_GOVT_TOT,A4A_GVTT;GVTSRV4;srvcsval170,BOTH,Value of services and facilities furnished by government during the current tax year and the four years prior,Services or facilities furnished by gov (170),2012-2024,2012-2024,1997-1999;1997-2010;2011
srvcsval509,EZ,gov_services_value_sec509,SA_03_PUB_VALUE_SVC_GOVT_TOT,srvcsval509,BOTH,Value of services or facilities furnished by government during the current tax year and the four years prior,Services or facilities furnished by gov (509),2012-2024,2012-2024,2011
subseccd,EZ,subsection_cd,F9_00_EXEMPT_STAT,SUBSECCD,BOTH,501C subsection code,Subsection code,2012-2024,2012-2024,1989-2011
subtotpub509,EZ,public_support_subtotal_line7c_sec509,SA_03_PUB_ADD_L7AB_TOT,,BOTH,Public support from disqualified persons or in excess during the current tax year and the four years prior,Public support subtotal (509),2013-2024,2013-2024,
subtotsuppinc509,EZ,total_support_subtotal_sec509,SA_03_TOT_ADD_L10AB_TOT,subtotsuppinc509,BOTH,Gross investment income and unrelated business taxable income during the current tax year and the four years prior,Subtotal total support (509),2012-2024,2012-2024,2011
tax_pd,EZ,tax_period,F9_00_TAX_PERIOD_END_DATE,TAXPER,BOTH,Tax period end date,Tax period,"2013,2016",2013-2020,1989-2011
tax_prd,EZ,tax_period,F9_00_TAX_PERIOD_END_DATE,TAXPER,BOTH,Tax period end date,Tax period,2012,2012-2012,1989-2011
taxpd,EZ,tax_period,F9_00_TAX_PERIOD_END_DATE,TAXPER,BOTH,Tax period end date,Tax period,2017-2024,2017-2024,1989-2011
taxprd,EZ,tax_period,F9_00_TAX_PERIOD_END_DATE,TAXPER,BOTH,Tax period end date,Tax period,2014,2014-2014,1989-2011
totassetsend,EZ,total_assets_eoy,F9_10_ASSET_TOT_EOY,ASS_EOY;P4E_ASST,BOTH,Total assets - end of year,Total assets e-o-y,2012-2024,2012-2024,1989-1999;1989-2011
totcntrbs,EZ,total_contributions,F9_01_REV_CONTR_TOT_CY_2,A4A_CNT;CONT;P1TCONT,F990EZ,"Contributions, gifts, grants, and similar amounts received","Contributions, gifts, grants, etc received",2012-2024,2012-2024,1989-1999;1989-2011;1997-1999
totexcessyr,EZ,excess_or_deficit_for_year,F9_01_EXP_REV_LESS_EXP_CY,,F990EZ,Revenue less expenses - current year,Excess or deficit,2012-2024,2012-2024,
totexpns,EZ,total_expenses,F9_01_EXP_TOT_CY,EXPS;P1TOTEXP,F990EZ,Total expenses - current year,Total expenses,2012-2024,2012-2024,1989-1999;1989-2011
totgftgrntrcvd509,EZ,total_gifts_grants_received_sec509,SA_03_PUB_GIFT_GRANT_CONTR_TOT,totgftgrntrcvd509,BOTH,"Gifts, grants, contributions, and membership fees received during the current tax year and the four years prior",Gifts grants membership fees received (509),2012-2024,2012-2024,2011
totliabend,EZ,total_liabilities_eoy,F9_10_LIAB_TOT_EOY,LIAB_EOY;P4E_LIAB,BOTH,Total liabilities - end of year,Total liabilities e-o-y,2012-2024,2012-2024,1989-1999;1989-2011
totnetassetsend,EZ,total_net_assets_eoy,F9_10_NAFB_TOT_EOY,FUNDBAL;P1NASEOY;p4b_net,BOTH,Net assets or fund balances - end of year,Total net worth e-o-y,2012-2024,2012-2024,1989-1999;1989-2011;1997-1999
totnoforgscnt,EZ,n_orgs_supported,SA_01_PCSTAT_SUPPORT_ORG_NUM,,BOTH,Number of supported organizations,Number of organizations supported,2017-2024,2014-2024,
totnooforgscnt,EZ,n_orgs_supported,SA_01_PCSTAT_SUPPORT_ORG_NUM,,BOTH,Number of supported organizations,Number of organizations supported,2013-2016,2013-2020,
totrevnue,EZ,total_revenue,F9_01_REV_TOT_CY,P1TOTREV;TOTREV;TOTREV2,F990EZ,Total revenue - current year,Total revenue,2012-2024,2012-2024,1989-2011;1993-1999;1997-2011
totsupp170,EZ,total_support_sec170,SA_02_TOT_SUPPORT_TOT,A4A_TOTT;OTHINC4,BOTH,Total support during the current tax year and the four years prior,Total support (170),2013-2016,2013-2020,1997-1999;1997-2010
totsupp509,EZ,total_support_sec509,SA_03_TOT_SUPPORT_TOT,totsupp509,BOTH,"Gifts, grants, contributions, and membership fees received during the current tax year and the four years prior",Total support (509),2012-2024,2012-2024,2011
totsupport,EZ,total_support_amount,SA_01_PCSTAT_ORG_AMT_SUPPORT,,BOTH,Amount of monetary support,Sum of amounts of support,2013-2024,2013-2024,
totsupport170,EZ,total_support_sec170,SA_02_TOT_SUPPORT_TOT,A4A_TOTT;OTHINC4,BOTH,Total support during the current tax year and the four years prior,Total support (170),2017-2024,2014-2024,1997-1999;1997-2010
txrevnuelevied170,EZ,tax_revenues_levied_sec170,SA_02_PUB_TAXREV_LEVIED_TOT,A4A_TAXT;TAXREV4;txrevnuelevied170,BOTH,Tax revenues levied for organization benefit during the current tax year and the four years prior,Tax revenues levied (170),2012-2024,2012-2024,1997-1999;1997-2010;2011
txrevnuelevied509,EZ,tax_revenues_levied_sec509,SA_03_PUB_TAXREV_LEVIED_TOT,txrevnuelevied509,BOTH,Tax revenues levied for organization benefit during the current tax year and the four years prior,Tax revenues levied (509),2012-2024,2012-2024,2011
unrelbusincd,EZ,unrelated_business_income_1k_cd,F9_05_UBIZ_IMCOME_OVER_LIMIT_X,P6UNRELB,BOTH,"Had unrelated business gross income of $1,000 or more [x]","UBI over $1,000?",2012-2024,2012-2024,1989-1999
unreltxincls511tx509,EZ,net_ubi_line10b_sec509,SA_03_TOT_INCOME_UBIZ_TOT,,BOTH,Gross unrelated business taxable income during the current tax year and the four years prior,Net UBI (509),2013-2024,2013-2024,
accntingfees,PC,accounting_fees,F9_09_EXP_FEE_SVC_ACC_TOT,,F990,Fees for services - accounting - total expenses,Accounting fees,2013-2024,2013-2024,
accntspayableend,PC,accounts_payable_eoy,F9_10_LIAB_ACC_PAYABLE_EOY,,F990,Accounts payable and accrued expenses - end of year,Accounts payable and accrued expenses -- eoy,2013-2024,2013-2024,
accntsrcvblend,PC,accounts_receivable_eoy,F9_10_ASSET_ACC_NET_EOY,,F990,Net accounts receivable - end of year,Accounts receivable -- eoy,2013-2024,2013-2024,
actonbehalfcd,PC,act_on_behalf_of_issuer_cd,F9_04_TAX_EXEMPT_BOND_ISSUER_X,,F990,"Acted as an """"on behalf of"""" issuer [x]",On behalf of issuer?,2013-2024,2013-2024,
advrtpromo,PC,advertising_promotion,F9_09_EXP_AD_PROMO_TOT,,F990,Advertising and promotion - total expenses,Advertising and promotion,2013-2024,2013-2024,
awarexcessbnftcd,PC,aware_prior_excess_benefit_cd,F9_04_TRANSAC_PY_X,,F990,Engaged in excess benefit transaction - prior year [x],Prior excess benefit transaction?,2013-2024,2013-2024,
benifitsmembrs,PC,benefits_to_members,F9_09_EXP_BEN_PAID_MEMB_TOT,,F990,Benefits paid to or for members - total expenses,Benefits paid to or for members,2013-2024,2013-2024,
capitalstktrstend,PC,capital_stock_or_trust_eoy,F9_10_NAFB_CAP_STCK_EOY,,F990,"Capital stock or trust principal, current funds - end of year",Capital stock or trust principal -- eoy,2013-2024,2013-2024,
ceaseoperationscd,PC,terminated_cd,F9_04_LTD_X,,F990,"Liquidated, terminated, or dissolved and ceased operations [x]",Terminated?,2013-2024,2013-2024,
compltschocd,PC,schedule_o_completed_cd,F9_04_SCHED_O_REQ_X,,F990,Completed Schedule O and explained Part VI lines 11b and 19 [x],Schedule O completed?,2013-2024,2013-2024,
compnsatnandothr,PC,compensation_disqualified_persons,F9_09_EXP_COMP_DSQ_PERS_TOT,,F990,Compensation not included above to disqualified persons - total expenses,Compensation of disqualified persons,2013-2024,2013-2024,
compnsatncurrofcr,PC,compensation_current_officers,F9_09_EXP_COMP_DTK_TOT,COMPENS;P2TCOMP,F990,"Compensation of current officers, directors, trustees, and key employees - total expenses","Compensation of current officers, directors, etc",2012-2024,2012-2024,1989-1999;1989-2011
conduct5percentcd,PC,partnership_activities_5pct_cd,F9_04_PTR_ACT_X,,F990,Conducted more than 5% of activities through non-related partner [x],Activities conducted thru partnership?,2013-2024,2013-2024,
converconventmtng,PC,conferences_conventions_meetings,F9_09_EXP_CONF_MEETING_TOT,,F990,"Conferences, conventions, and meetings - total expenses","Conferences, conventions, meetings",2013-2024,2013-2024,
crcounselingqstncd,PC,credit_counseling_cd,F9_04_CREDIT_COUNS_X,,F990,"Reported an amount of escrow or custodial account liability, served as a custodian or amounts not listed in Part 10; or provided credit counseling, debt management, credit repair, or debt negotiation services [x]",Credit counseling?,2013-2024,2013-2024,
cstbasisecur,PC,cost_basis_securities,F9_08_REV_OTH_SALE_LESS_COST_SEC,P1SECURC;SALESEXP,F990,Cost of assets and sales expenses - securities,Sales expense -- Securities,2012-2024,2012-2024,1989-1999;1989-2011
cstbasisothr,PC,cost_basis_other,F9_08_REV_OTH_SALE_LESS_COST_OTH,,F990,Cost of assets and sales expenses - other,Sales expense -- Other assets,2012-2024,2012-2024,
currfrmrcvblend,PC,officer_receivables_eoy,F9_10_ASSET_LOAN_OFF_EOY,,F990,"Loans and other receivables from officers, directors, trustees, key employees, creators or founders, substantial contributors, or 35% controlled entities or family members - end of year","Receivables from officers, directors, etc. -- eoy",2013-2024,2013-2024,
deferedrevnuend,PC,deferred_revenue_eoy,F9_10_LIAB_REV_DEFERRED_EOY,,F990,Deferred revenue - end of year,Deferred revenue -- eoy,2013-2024,2013-2024,
deprcatndepletn,PC,depreciation_depletion,F9_09_EXP_DEPREC_TOT,,F990,"Depreciation, depletion, and amortization - total expenses","Depreciation, depletion, amortization",2013-2024,2013-2024,
dirbusnreltdcd,PC,director_business_relationship_cd,F9_04_BIZ_TRANSAC_DTK_X,,F990,"Was party to a business transaction with a current or former officer, director, trustee, key employee, creator or founder, or substantial contributor [x]",Business relationship with organization?,2013-2024,2013-2024,
distribtodonorcd,PC,distribution_to_donor_cd,F9_05_DAF_DIST_DONOR_X,,F990,"Made taxable distributions to a donor, donor advisor, or related person [x]",Distribution to donor?,2013-2024,2013-2024,
dnradvisedfundscd,PC,donor_advised_funds_cd,F9_04_DAF_X,,F990,Maintained donor advised funds [x],Donor advised funds?,2013-2024,2013-2024,
efile,PC,efile_indicator,EFILE_X,,BOTH,E-file indicator,E-file indicator,2020-2024,2020-2024,
ein,PC,ein,F9_00_ORG_EIN,EIN,BOTH,EIN,Employer Identification Number,2012-2024,2012-2024,1989-2011
elf,PC,efile_indicator,EFILE_X,,BOTH,E-file indicator,E-file indicator,2015-2019,2015-2019,
engageexcessbnftcd,PC,excess_benefit_transaction_cd,F9_04_TRANSAC_ENGAGED_X,,BOTH,Engaged in excess benefit transaction - current year [x],Excess benefit transaction?,2013-2024,2013-2024,
escrwaccntliabend,PC,escrow_account_liability_eoy,F9_10_LIAB_ESCROW_ACC_EOY,,F990,Escrow or custodial account liability - end of year,Escrow account liability -- eoy,2013-2024,2013-2024,
excbushldngscd,PC,excess_business_holdings_cd,F9_05_DAF_EXCESS_BIZ_HOLDING_X,,F990,Maintained donor advised fund with excess business holdings [x],Excess business holdings?,2013-2024,2013-2024,
exceeds1pct509,PC,excess_over_1pct_sec509,SA_03_PUB_AMT_CONTR_SBST_TOT,,BOTH,"Public support from exceeding $5,000 or 1% of total during the current tax year and the four years prior",Amount support exceeds total (509),2013-2024,2013-2024,
exceeds2pct170,PC,excess_over_2pct_sec170,SA_02_PUB_CONTR_SBST_TOT,,BOTH,Portion of total contributions exceeding 2% of total,Amount support exceeds total (170),2013-2024,2013-2024,
exprstmntcd,PC,nondeductible_disclosure_cd,F9_05_NONDEDUCT_CONTR_NOTIFY_X,,F990,Included express statements with solicitations of non-deductible contributions [x],Non-deduct. disclosure?,2013-2024,2013-2024,
f1096cnt,PC,n_form_1096,F9_05_NUM_FORM_1096_BOX_3,,F990,Number reported in box 3 of Form 1096,Number forms transmitted with 1096,2013-2024,2013-2024,
f8282cnt,PC,n_form_8282,F9_05_170C_NUM_FORM_8282_FILED_X,,F990,Number of Forms 8282 filed,Number of 8282s filed,2013-2024,2013-2024,
feesforsrvcinvstmgmt,PC,fees_for_services_investment_mgmt,F9_09_EXP_FEE_SVC_INVEST_TOT,,F990,Fees for services - investment management fees - total expenses,Investment management fees,2013-2024,2013-2024,
feesforsrvclobby,PC,fees_for_services_lobbying,F9_09_EXP_FEE_SVC_LOB_TOT,,F990,Fees for services - lobbying - total expenses,Lobbying fees,2013-2024,2013-2024,
feesforsrvcmgmt,PC,fees_for_services_management,F9_09_EXP_FEE_SVC_MGMT_TOT,,F990,Fees for services - management - total expenses,Management fees,2013-2024,2013-2024,
feesforsrvcothr,PC,fees_for_services_other,F9_09_EXP_FEE_SVC_OTH_TOT,,F990,Fees for services - other - total expenses,Other fees,2013-2024,2013-2024,
filedf1098ccd,PC,filed_form_1098c_cd,F9_05_170C_FORM_1098C_FILED_X,,F990,Filed Form 1098-C [x],Form 1098-C filed?,2013-2024,2013-2024,
filedf720cd,PC,filed_form_720_cd,F9_05_TANNING_FORM_720_FILED_X,,F990,Filed a Form 720 [x],Filed Form 720 for tanning,2013-2024,2013-2024,
filedf7n0cd,PC,filed_form_720_cd,F9_05_TANNING_FORM_720_FILED_X,,F990,Filed a Form 720 [x],Filed Form 720 for tanning (2015 typo: N for 2),2015,2015-2015,
filedf8282cd,PC,property_disposition_8282_cd,F9_05_170C_FORM_8282_REQ_X,,F990,Required to file Form 8282 [x],Form 8282 property disposed of?,2013-2024,2013-2024,
filedf8886tcd,PC,filed_form_8886t_cd,F9_05_PTST_FORM_8886T_FILED_X,,F990,Filed Form 8886-T [x],Form 8886-T filed?,2013-2024,2013-2024,
filedf8899cd,PC,filed_form_8899_cd,F9_05_170C_FORM_8899_FILED_X,,F990,Filed Form 8899 [x],Form 8899 filed?,2013-2024,2013-2024,
filedf8n8ncd,PC,property_disposition_8282_cd,F9_05_170C_FORM_8282_REQ_X,,F990,Required to file Form 8282 [x],Form 8282 property disposed of? (2015 typo: N for 2),2015,2015-2015,
filedf990tcd,PC,filed_form_990t_cd,F9_05_UBIZ_FORM_990T_FILED_X,,BOTH,Filed a Form 990-T [x],Form 990-T filed?,2013-2024,2013-2024,
filedfy098ccd,PC,filed_form_1098c_cd,F9_05_170C_FORM_1098C_FILED_X,,F990,Filed Form 1098-C [x],Form 1098-C filed? (2015 typo: Y for 1),2015,2015-2015,
